Trait	Individuals	H2r	H2rpval	H2rSD	AGE	AGE	SEX	SEX	Kurtosis	uid	otu
iuid_150	271	0.2045296	0.1029818	0.1640421	AGE	0.0091657	SEX	0.0096481	-0.5234	uid_150	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__.Odoribacteraceae._g__Butyricimonas
iuid_245	271	0.2019598	0.0894275	0.1530328	AGE	0.31466	SEX	0.5422748	-0.6002	uid_245	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Haemophilus
iuid_56	271	0.1956402	0.113528	0.1583925	AGE	0.2318529	SEX	0.2639539	15.1788	uid_56	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Aeromonadales
iuid_117	271	0.1956402	0.113528	0.1583925	AGE	0.2318529	SEX	0.2639539	15.1788	uid_117	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Aeromonadales_f__Succinivibrionaceae
iuid_240	271	0.1956402	0.113528	0.1583925	AGE	0.2318529	SEX	0.2639539	15.1788	uid_240	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Aeromonadales_f__Succinivibrionaceae_g__Succinivibrio
iuid_201	271	0.1918229	0.0790144	0.1409929	AGE	0.022211	SEX	0.0189238	1.3154	uid_201	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Acidaminococcus
iuid_179	271	0.1909121	0.1129581	0.160244	AGE	0.2352225	SEX	0.2311228	-0.1961	uid_179	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_Other
iuid_6	271	0.1900105	0.1335861	0.1721276	AGE	0.8092033	SEX	0.1596825	2.7913	uid_6	k__Bacteria_p__Fusobacteria
iuid_22	271	0.1900105	0.1335861	0.1721276	AGE	0.8092033	SEX	0.1596825	2.7913	uid_22	k__Bacteria_p__Fusobacteria_c__Fusobacteriia
iuid_49	271	0.1900105	0.1335861	0.1721276	AGE	0.8092033	SEX	0.1596825	2.7913	uid_49	k__Bacteria_p__Fusobacteria_c__Fusobacteriia_o__Fusobacteriales
iuid_107	271	0.1900105	0.1335861	0.1721276	AGE	0.8092033	SEX	0.1596825	2.7913	uid_107	k__Bacteria_p__Fusobacteria_c__Fusobacteriia_o__Fusobacteriales_f__Fusobacteriaceae
iuid_227	271	0.1900105	0.1335861	0.1721276	AGE	0.8092033	SEX	0.1596825	2.7913	uid_227	k__Bacteria_p__Fusobacteria_c__Fusobacteriia_o__Fusobacteriales_f__Fusobacteriaceae_g__Fusobacterium
iuid_5	271	0.1843044	0.1329024	0.167811	AGE	0.2480371	SEX	0.4771082	-0.1961	uid_5	k__Bacteria_p__Firmicutes
iuid_223	271	0.1834136	0.12443	0.1609832	AGE	0.2077183	SEX	0.9411611	-0.0498	uid_223	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Clostridium
iuid_31	271	0.1808611	0.1135127	0.1537771	AGE	0.1910274	SEX	0.3478727	-0.589	uid_31	k__Bacteria_p__Tenericutes_c__Mollicutes
iuid_62	271	0.1808611	0.1135127	0.1537771	AGE	0.1910274	SEX	0.3478727	-0.589	uid_62	k__Bacteria_p__Tenericutes_c__Mollicutes_o__RF39
iuid_124	271	0.1808611	0.1135127	0.1537771	AGE	0.1910274	SEX	0.3478727	-0.589	uid_124	k__Bacteria_p__Tenericutes_c__Mollicutes_o__RF39_Other
iuid_251	271	0.1808611	0.1135127	0.1537771	AGE	0.1910274	SEX	0.3478727	-0.589	uid_251	k__Bacteria_p__Tenericutes_c__Mollicutes_o__RF39_Other_Other
iuid_237	271	0.1754806	0.1256653	0.1569804	AGE	0.9526628	SEX	0.9385771	-0.4582	uid_237	k__Bacteria_p__Proteobacteria_c__Deltaproteobacteria_o__Desulfovibrionales_f__Desulfovibrionaceae_g__Bilophila
iuid_98	271	0.1697184	0.1432481	0.1614659	AGE	0.0518985	SEX	0.8902404	-0.1154	uid_98	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae
iuid_8	271	0.1614711	0.1627748	0.1663187	AGE	0.0728787	SEX	0.4017694	-0.0591	uid_8	k__Bacteria_p__Proteobacteria
iuid_188	271	0.1527021	0.1748802	0.165571	AGE	0.2071311	SEX	0.6841118	-0.1961	uid_188	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Roseburia
iuid_104	271	0.1463428	0.1874167	0.1667838	AGE	0.00522	SEX	0.0016443	-0.6804	uid_104	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae.
iuid_110	271	0.1385861	0.16614	0.1461995	AGE	0.7517984	SEX	0.1888659	1.6758	uid_110	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_Other
iuid_230	271	0.1385861	0.16614	0.1461995	AGE	0.7517984	SEX	0.1888659	1.6758	uid_230	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_Other_Other
iuid_113	271	0.125159	0.1743904	0.1366527	AGE	0.7484691	SEX	0.5086565	2.5481	uid_113	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae
iuid_234	271	0.125159	0.1743904	0.1366527	AGE	0.7484691	SEX	0.5086565	2.5481	uid_234	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Oxalobacteraceae_Other
iuid_204	271	0.1226652	0.2296098	0.166954	AGE	0.0658686	SEX	0.5402158	1.4953	uid_204	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Megasphaera
iuid_66	271	0.1166235	0.2211771	0.1545754	AGE	0.0412201	SEX	0.0000365	0.018	uid_66	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae
iuid_145	271	0.110947	0.2418054	0.1604778	AGE	0.0076386	SEX	0.1512588	-0.3482	uid_145	k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Porphyromonadaceae_g__Porphyromonas
iuid_214	271	0.109822	0.2331001	0.1531839	AGE	0.3618034	SEX	0.3073429	-0.2947	uid_214	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__Parvimonas
iuid_165	271	0.1031198	0.2565549	0.1595823	AGE	0.0016643	SEX	0.7154133	0.7629	uid_165	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Weissella
iuid_19	271	0.098381	0.2691563	0.1614676	AGE	0.544426	SEX	0.0054107	-0.2382	uid_19	k__Bacteria_p__Firmicutes_c__Bacilli
iuid_44	271	0.0977499	0.274863	0.1647242	AGE	0.8002392	SEX	0.0355272	-0.2666	uid_44	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales
iuid_90	271	0.0950044	0.2791065	0.1637268	AGE	0.894131	SEX	0.0281296	-0.2506	uid_90	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae
iuid_167	271	0.094413	0.2822595	0.1652009	AGE	0.7131611	SEX	0.0301995	-0.2352	uid_167	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Streptococcaceae_g__Streptococcus
iuid_67	271	0.0882227	0.2852532	0.1576219	AGE	0.0409627	SEX	0.0033617	1.1818	uid_67	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae
iuid_132	271	0.0882227	0.2852532	0.1576219	AGE	0.0409627	SEX	0.0033617	1.1818	uid_132	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Corynebacteriaceae_g__Corynebacterium
iuid_129	271	0.0852302	0.2865594	0.1534547	AGE	0.0989925	SEX	0.0000312	-0.0301	uid_129	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces
iuid_180	271	0.0822559	0.3019143	0.1600878	AGE	0.2980894	SEX	0.0816496	-0.2063	uid_180	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Anaerostipes
iuid_35	271	0.080593	0.2953122	0.1520658	AGE	0.0481568	SEX	0.000012	-0.0106	uid_35	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales
iuid_247	271	0.0758904	0.3106467	0.15594	AGE	0.6174513	SEX	0.5100873	11.2929	uid_247	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae_g__Enhydrobacter
iuid_211	271	0.0744093	0.3242912	0.1647479	AGE	0.0469519	SEX	0.0111018	1.6863	uid_211	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__1.68
iuid_120	271	0.0736151	0.2995319	0.1427414	AGE	0.4499984	SEX	0.1904245	-0.4683	uid_120	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae
iuid_28	271	0.0661899	0.3470597	0.1688421	AGE	0.629915	SEX	0.3796058	-0.1961	uid_28	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria
iuid_11	271	0.0631727	0.3346236	0.1499272	AGE	0.1346077	SEX	0.7452871	-0.6523	uid_11	k__Bacteria_p__Tenericutes
iuid_210	271	0.0609297	0.3508971	0.1603778	AGE	0.1910147	SEX	0.0024041	-0.4711	uid_210	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Mogibacteriaceae._g__Mogibacterium
iuid_185	271	0.0500779	0.3874323	0.1754272	AGE	0.1066292	SEX	0.146556	-0.2061	uid_185	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospira
iuid_216	271	0.0470698	0.383144	0.159305	AGE	0.0932364	SEX	0.2565373	-0.4352	uid_216	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__WAL_1855D
iuid_186	271	0.0467593	0.3794124	0.1532944	AGE	0.5525481	SEX	0.9775769	3.3505	uid_186	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Oribacterium
iuid_221	271	0.0447003	0.3858171	0.1550291	AGE	0.6540598	SEX	0.6313904	0.2617	uid_221	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Bulleidia
iuid_182	271	0.0426831	0.3929199	0.1577998	AGE	0.9764963	SEX	0.8949843	-0.1961	uid_182	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Coprococcus
iuid_191	271	0.0383493	0.416741	0.1829466	AGE	0.5777477	SEX	0.0144491	7.3493	uid_191	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptococcaceae_g__Peptococcus
iuid_243	271	0.0354403	0.412764	0.1612874	AGE	0.4201091	SEX	0.4856291	9.9051	uid_243	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pasteurellales_f__Pasteurellaceae_g__Actinobacillus
iuid_208	271	0.0253609	0.4368307	0.1600025	AGE	0.0000171	SEX	0.6178888	-0.0744	uid_208	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Veillonellaceae_g__Veillonella
iuid_130	271	0.0246973	0.4420067	0.1694909	AGE	0.3678921	SEX	0.6502763	11.2929	uid_130	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Mobiluncus
iuid_89	271	0.0230032	0.43901	0.1504534	AGE	0.0188026	SEX	0.5183475	-0.7238	uid_89	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae
iuid_164	271	0.0096823	0.4737917	0.1475407	AGE	0.1303767	SEX	0.6333255	-0.4917	uid_164	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Leuconostocaceae_g__Leuconostoc
iuid_10	271	0.008042	0.4786082	0.1500892	AGE	0.7617931	SEX	0.8616669	0.1974	uid_10	k__Bacteria_p__TM7
iuid_30	271	0.008042	0.4786082	0.1500892	AGE	0.7617931	SEX	0.8616669	0.1974	uid_30	k__Bacteria_p__TM7_c__TM7.3
iuid_61	271	0.008042	0.4786082	0.1500892	AGE	0.7617931	SEX	0.8616669	0.1974	uid_61	k__Bacteria_p__TM7_c__TM7.3_o__
iuid_123	271	0.008042	0.4786082	0.1500892	AGE	0.7617931	SEX	0.8616669	0.1974	uid_123	k__Bacteria_p__TM7_c__TM7.3_o___Other
iuid_250	271	0.008042	0.4786082	0.1500892	AGE	0.7617931	SEX	0.8616669	0.1974	uid_250	k__Bacteria_p__TM7_c__TM7.3_o___Other_Other
iuid_59	271	0.0006049	0.4983074	0.1398665	AGE	0.3572634	SEX	0.3243886	-0.6335	uid_59	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales
iuid_85	271	0	0.5	0	AGE	0.452912	SEX	0.1124783	-0.7242	uid_85	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Aerococcaceae
iuid_159	271	0	0.5	0	AGE	0.4528767	SEX	0.112478	-0.7242	uid_159	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Aerococcaceae_Other
iuid_224	271	0	0.5	0	AGE	0.5492525	SEX	0.0100647	-0.6718	uid_224	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Coprobacillus
iuid_86	271	0	0.5	0	AGE	0.909635	SEX	0.3042919	-0.5538	uid_86	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae
iuid_43	271	0	0.5	0	AGE	0.0220055	SEX	0.4858607	-0.4935	uid_43	k__Bacteria_p__Firmicutes_c__Bacilli_o__Gemellales
iuid_83	271	0	0.5	0	AGE	0.0220055	SEX	0.4858607	-0.4935	uid_83	k__Bacteria_p__Firmicutes_c__Bacilli_o__Gemellales_f__Gemellaceae
iuid_157	271	0	0.5	0	AGE	0.0220055	SEX	0.4858607	-0.4935	uid_157	k__Bacteria_p__Firmicutes_c__Bacilli_o__Gemellales_f__Gemellaceae_Other
iuid_184	271	0	0.5	0	AGE	0.1798494	SEX	0.6026698	-0.466	uid_184	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnobacterium
iuid_246	271	0	0.5	0	AGE	0.3738058	SEX	0.221257	-0.4033	uid_246	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Moraxellaceae_g__Acinetobacter
iuid_225	271	0	0.5	0	AGE	0.8006152	SEX	0.5062011	-0.3839	uid_225	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__.Eubacterium.
iuid_57	271	0	0.5	0	AGE	0.1480787	SEX	0.1759835	-0.3751	uid_57	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales
iuid_118	271	0	0.5	0	AGE	0.1480787	SEX	0.1759835	-0.3751	uid_118	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae
iuid_241	271	0	0.5	0	AGE	0.1429663	SEX	0.1719224	-0.3751	uid_241	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_Other
iuid_198	271	0	0.5	0	AGE	0.0108708	SEX	0.2103145	-0.2007	uid_198	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Oscillospira
iuid_24	271	0	0.5	0	AGE	0.0009395	SEX	0.0302064	-0.1859	uid_24	k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria
iuid_51	271	0	0.5	0	AGE	0.0009395	SEX	0.0302064	-0.1859	uid_51	k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__RF32
iuid_109	271	0	0.5	0	AGE	0.0009395	SEX	0.0302064	-0.1859	uid_109	k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__RF32_Other
iuid_229	271	0	0.5	0	AGE	0.0009395	SEX	0.0302064	-0.1859	uid_229	k__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__RF32_Other_Other
iuid_160	271	0	0.5	0	AGE	0.2062297	SEX	0.4508421	0.0256	uid_160	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_Other
iuid_139	271	0	0.5	0	AGE	0.1508	SEX	0.1716954	0.2291	uid_139	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Atopobium
iuid_161	271	0	0.5	0	AGE	0.6664203	SEX	0.4770568	0.6038	uid_161	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Carnobacteriaceae_g__Granulicatella
iuid_32	271	0	0.5	0	AGE	0.6621138	SEX	0.7640323	1.0579	uid_32	k__Bacteria_p__Tenericutes_c__RF3
iuid_63	271	0	0.5	0	AGE	0.6621138	SEX	0.7640323	1.0579	uid_63	k__Bacteria_p__Tenericutes_c__RF3_o__ML615J.28
iuid_125	271	0	0.5	0	AGE	0.6621138	SEX	0.7640323	1.0579	uid_125	k__Bacteria_p__Tenericutes_c__RF3_o__ML615J.28_Other
iuid_194	271	0	0.5	0	AGE	0.2107417	SEX	0.1657106	1.0579	uid_194	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__Peptostreptococcus
iuid_252	271	0	0.5	0	AGE	0.6621138	SEX	0.7640323	1.0579	uid_252	k__Bacteria_p__Tenericutes_c__RF3_o__ML615J.28_Other_Other
iuid_217	271	0	0.5	0	AGE	0.0287769	SEX	0.2320365	2.0189	uid_217	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__.Tissierellaceae._g__ph2
iuid_27	271	0	0.5	0	AGE	0.0025651	SEX	0.728666	2.5829	uid_27	k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria
iuid_55	271	0	0.5	0	AGE	0.0025651	SEX	0.728666	2.5829	uid_55	k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria_o__Campylobacterales
iuid_116	271	0	0.5	0	AGE	0.0025651	SEX	0.728666	2.5829	uid_116	k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria_o__Campylobacterales_f__Campylobacteraceae
iuid_239	271	0	0.5	0	AGE	0.0025651	SEX	0.728666	2.5829	uid_239	k__Bacteria_p__Proteobacteria_c__Epsilonproteobacteria_o__Campylobacterales_f__Campylobacteraceae_g__Campylobacter
iuid_128	271	0	0.5	0	AGE	0.7692471	SEX	0.2109568	2.7913	uid_128	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_Other
iuid_87	271	0	0.5	0	AGE	0.6156647	SEX	0.0380119	3.551	uid_87	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae
iuid_162	271	0	0.5	0	AGE	0.6156647	SEX	0.0380119	3.551	uid_162	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Enterococcaceae_g__Enterococcus
iuid_141	271	0	0.5	0	AGE	0.8163272	SEX	0.0691465	3.6829	uid_141	k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g__Eggerthella
iuid_121	271	0	0.5	0	AGE	0.3085967	SEX	0.5866756	5.124	uid_121	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae
iuid_248	271	0	0.5	0	AGE	0.3085967	SEX	0.5866756	5.124	uid_248	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas
iuid_220	271	0	0.5	0	AGE	0.2253539	SEX	0.1883419	8.7592	uid_220	k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Allobaculum
iuid_42	271	0	0.5	0	AGE	0.0993384	SEX	0.9449262	9.4279	uid_42	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales
iuid_82	271	0	0.5	0	AGE	0.0993384	SEX	0.9449262	9.4279	uid_82	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Staphylococcaceae
iuid_156	271	0	0.5	0	AGE	0.0993384	SEX	0.9449262	9.4279	uid_156	k__Bacteria_p__Firmicutes_c__Bacilli_o__Bacillales_f__Staphylococcaceae_g__Staphylococcus
iuid_17	271	0	0.5	0	AGE	0.8463253	SEX	0.2605892	13.0075	uid_17	k__Bacteria_p__Bacteroidetes_c__Flavobacteriia
iuid_39	271	0	0.5	0	AGE	0.8463253	SEX	0.2605892	13.0075	uid_39	k__Bacteria_p__Bacteroidetes_c__Flavobacteriia_o__Flavobacteriales
iuid_53	271	0	0.5	0	AGE	0.4841085	SEX	0.5038012	13.0075	uid_53	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales
iuid_79	271	0	0.5	0	AGE	0.8463253	SEX	0.2605892	13.0075	uid_79	k__Bacteria_p__Bacteroidetes_c__Flavobacteriia_o__Flavobacteriales_f__.Weeksellaceae.
iuid_114	271	0	0.5	0	AGE	0.4841085	SEX	0.5038012	13.0075	uid_114	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae
iuid_134	271	0	0.5	0	AGE	0.564363	SEX	0.8240511	13.0075	uid_134	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_Other
iuid_153	271	0	0.5	0	AGE	0.8463253	SEX	0.2605892	13.0075	uid_153	k__Bacteria_p__Bacteroidetes_c__Flavobacteriia_o__Flavobacteriales_f__.Weeksellaceae._g__Chryseobacterium
iuid_235	271	0	0.5	0	AGE	0.4841085	SEX	0.5038012	13.0075	uid_235	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Rhodocyclales_f__Rhodocyclaceae_Other
iuid_232	271	0	0.5	0	AGE	0.4930249	SEX	0.9094257	16.4967	uid_232	k__Bacteria_p__Proteobacteria_c__Betaproteobacteria_o__Burkholderiales_f__Comamonadaceae_Other
iuid_242	271	0	0.5	0	AGE	0.5593989	SEX	0.6298428	16.4967	uid_242	k__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacteriales_f__Enterobacteriaceae_g__Serratia
iuid_9	271	0	0.5	0	AGE	0.2459172	SEX	0.2367825	31.2918	uid_9	k__Bacteria_p__Synergistetes
iuid_29	271	0	0.5	0	AGE	0.2459172	SEX	0.2367825	31.2918	uid_29	k__Bacteria_p__Synergistetes_c__Synergistia
iuid_60	271	0	0.5	0	AGE	0.2459172	SEX	0.2367825	31.2918	uid_60	k__Bacteria_p__Synergistetes_c__Synergistia_o__Synergistales
iuid_122	271	0	0.5	0	AGE	0.2459172	SEX	0.2367825	31.2918	uid_122	k__Bacteria_p__Synergistetes_c__Synergistia_o__Synergistales_f__Synergistaceae
iuid_249	271	0	0.5	0	AGE	0.2459172	SEX	0.2367825	31.2918	uid_249	k__Bacteria_p__Synergistetes_c__Synergistia_o__Synergistales_f__Synergistaceae_Other
